code,ko_text,ko_braille,braille_chars,frequency
P305+P351+P338,눈에 묻으면:몇 분간 물로 조심해서 씻으시오.가능하면 콘택트렌즈를 제거하시오.계속 씻으시오.,⠴⠠⠏⠼⠉⠚⠑+⠴⠠⠏⠼⠉⠑⠁+⠴⠠⠏⠼⠉⠉⠓⠀⠐⠂⠀⠉⠍⠒⠛⠝⠀⠑⠍⠔⠛⠪⠑⠱⠒⠐⠂⠑⠱⠆⠀⠘⠍⠒⠈⠣⠒⠀⠑⠍⠂⠐⠥⠀⠨⠥⠠⠕⠢⠚⠗⠠⠎⠀⠠⠠⠕⠄⠛⠪⠠⠕⠛⠥⠲⠈⠣⠉⠪⠶⠚⠣⠑⠱⠒⠀⠋⠥⠒⠓⠗⠁⠓⠪⠐⠝⠒⠨⠪⠐⠪⠂⠀⠨⠝⠈⠎⠚⠣⠠⠕⠛⠥⠲⠈⠌⠠⠥⠁⠀⠠⠠⠕⠄⠛⠪⠠⠕⠛⠥⠲,137,5724
P306+P360,의류에 묻으면:의류를 벗기 전에 오염된 의류 및 피부를 다량의 물로 즉시 씻어내시오.,⠴⠠⠏⠼⠉⠚⠋+⠴⠠⠏⠼⠉⠋⠚⠀⠐⠂⠀⠛⠺⠐⠩⠛⠝⠀⠑⠍⠔⠛⠪⠑⠱⠒⠐⠂⠛⠺⠐⠩⠐⠪⠂⠀⠘⠎⠄⠈⠕⠀⠨⠎⠒⠛⠝⠀⠛⠥⠛⠱⠢⠊⠽⠒⠀⠛⠺⠐⠩⠀⠑⠕⠆⠀⠙⠕⠘⠍⠐⠪⠂⠀⠊⠣⠐⠜⠶⠛⠺⠀⠑⠍⠂⠐⠥⠀⠨⠪⠁⠠⠕⠀⠠⠠⠕⠄⠛⠎⠉⠗⠠⠕⠛⠥⠲,115,28
P308+P311,노출되거나 노출이 우려되면:의료기관/의사/…의 진찰을 받으시오.,⠴⠠⠏⠼⠉⠚⠓+⠴⠠⠏⠼⠉⠁⠁⠀⠐⠂⠀⠉⠥⠰⠍⠂⠊⠽⠈⠎⠉⠣⠀⠉⠥⠰⠍⠂⠛⠕⠀⠛⠍⠐⠱⠊⠽⠑⠱⠒⠐⠂⠛⠺⠐⠬⠈⠕⠈⠧⠒/⠛⠺⠠⠣/…⠛⠺⠀⠨⠕⠒⠰⠣⠂⠛⠪⠂⠀⠘⠣⠔⠛⠪⠠⠕⠛⠥⠲,89,578
P308+P313,노출되거나 노출이 우려되면:의학적인 조치/조언을 받으시오.,⠴⠠⠏⠼⠉⠚⠓+⠴⠠⠏⠼⠉⠁⠉⠀⠐⠂⠀⠉⠥⠰⠍⠂⠊⠽⠈⠎⠉⠣⠀⠉⠥⠰⠍⠂⠛⠕⠀⠛⠍⠐⠱⠊⠽⠑⠱⠒⠐⠂⠛⠺⠚⠣⠁⠨⠎⠁⠛⠕⠒⠀⠨⠥⠰⠕/⠨⠥⠛⠎⠒⠛⠪⠂⠀⠘⠣⠔⠛⠪⠠⠕⠛⠥⠲,86,2901
P310,즉시 의료기관/의사/…의 진찰을 받으시오.,⠴⠠⠏⠼⠉⠁⠚⠀⠐⠂⠀⠨⠪⠁⠠⠕⠀⠛⠺⠐⠬⠈⠕⠈⠧⠒/⠛⠺⠠⠣/…⠛⠺⠀⠨⠕⠒⠰⠣⠂⠛⠪⠂⠀⠘⠣⠔⠛⠪⠠⠕⠛⠥⠲,56,1848
P311,의료기관/의사/…의 진찰을 받으시오.,⠴⠠⠏⠼⠉⠁⠁⠀⠐⠂⠀⠛⠺⠐⠬⠈⠕⠈⠧⠒/⠛⠺⠠⠣/…⠛⠺⠀⠨⠕⠒⠰⠣⠂⠛⠪⠂⠀⠘⠣⠔⠛⠪⠠⠕⠛⠥⠲,50,708
P312,불편함을 느끼면 의료기관/의사/…의 진찰을 받으시오.,⠴⠠⠏⠼⠉⠁⠃⠀⠐⠂⠀⠘⠍⠂⠙⠱⠒⠚⠣⠢⠛⠪⠂⠀⠉⠪⠠⠈⠕⠑⠱⠒⠀⠛⠺⠐⠬⠈⠕⠈⠧⠒/⠛⠺⠠⠣/…⠛⠺⠀⠨⠕⠒⠰⠣⠂⠛⠪⠂⠀⠘⠣⠔⠛⠪⠠⠕⠛⠥⠲,72,2842
P314,불편함을 느끼면 의학적인 조치/조언을 받으시오.,⠴⠠⠏⠼⠉⠁⠙⠀⠐⠂⠀⠘⠍⠂⠙⠱⠒⠚⠣⠢⠛⠪⠂⠀⠉⠪⠠⠈⠕⠑⠱⠒⠀⠛⠺⠚⠣⠁⠨⠎⠁⠛⠕⠒⠀⠨⠥⠰⠕/⠨⠥⠛⠎⠒⠛⠪⠂⠀⠘⠣⠔⠛⠪⠠⠕⠛⠥⠲,69,1703
P320,긴급히…처치를 하시오.,⠴⠠⠏⠼⠉⠃⠚⠀⠐⠂⠀⠈⠕⠒⠈⠪⠃⠚⠕…⠰⠎⠰⠕⠐⠪⠂⠀⠚⠣⠠⠕⠛⠥⠲,35,623
P321,…처치를 하시오.,⠴⠠⠏⠼⠉⠃⠁⠀⠐⠂⠀…⠰⠎⠰⠕⠐⠪⠂⠀⠚⠣⠠⠕⠛⠥⠲,27,6547
P330,입을 씻어내시오.,⠴⠠⠏⠼⠉⠉⠚⠀⠐⠂⠀⠛⠕⠃⠛⠪⠂⠀⠠⠠⠕⠄⠛⠎⠉⠗⠠⠕⠛⠥⠲,31,3852
P331,토하게 하지 마시오.,⠴⠠⠏⠼⠉⠉⠁⠀⠐⠂⠀⠓⠥⠚⠣⠈⠝⠀⠚⠣⠨⠕⠀⠑⠣⠠⠕⠛⠥⠲,30,266
P332+P313,피부 자극이 나타나면:의학적인 조치/조언을 받으시오.,⠴⠠⠏⠼⠉⠉⠃+⠴⠠⠏⠼⠉⠁⠉⠀⠐⠂⠀⠙⠕⠘⠍⠀⠨⠣⠈⠪⠁⠛⠕⠀⠉⠣⠓⠣⠉⠣⠑⠱⠒⠐⠂⠛⠺⠚⠣⠁⠨⠎⠁⠛⠕⠒⠀⠨⠥⠰⠕/⠨⠥⠛⠎⠒⠛⠪⠂⠀⠘⠣⠔⠛⠪⠠⠕⠛⠥⠲,79,3327
P333+P313,피부 자극 또는 홍반이 나타나면:의학적인 조치/조언을 받으시오.,⠴⠠⠏⠼⠉⠉⠉+⠴⠠⠏⠼⠉⠁⠉⠀⠐⠂⠀⠙⠕⠘⠍⠀⠨⠣⠈⠪⠁⠀⠠⠊⠥⠉⠪⠒⠀⠚⠥⠶⠘⠣⠒⠛⠕⠀⠉⠣⠓⠣⠉⠣⠑⠱⠒⠐⠂⠛⠺⠚⠣⠁⠨⠎⠁⠛⠕⠒⠀⠨⠥⠰⠕/⠨⠥⠛⠎⠒⠛⠪⠂⠀⠘⠣⠔⠛⠪⠠⠕⠛⠥⠲,93,1364
P337+P313,눈에 자극이 지속되면:의학적인 조치/조언을 받으시오.,⠴⠠⠏⠼⠉⠉⠛+⠴⠠⠏⠼⠉⠁⠉⠀⠐⠂⠀⠉⠍⠒⠛⠝⠀⠨⠣⠈⠪⠁⠛⠕⠀⠨⠕⠠⠥⠁⠊⠽⠑⠱⠒⠐⠂⠛⠺⠚⠣⠁⠨⠎⠁⠛⠕⠒⠀⠨⠥⠰⠕/⠨⠥⠛⠎⠒⠛⠪⠂⠀⠘⠣⠔⠛⠪⠠⠕⠛⠥⠲,81,4485
P342+P311,호흡기 증상이 나타나면:의료기관/의사/…의 진찰을 받으시오.,⠴⠠⠏⠼⠉⠙⠃+⠴⠠⠏⠼⠉⠁⠁⠀⠐⠂⠀⠚⠥⠚⠪⠃⠈⠕⠀⠨⠪⠶⠠⠣⠶⠛⠕⠀⠉⠣⠓⠣⠉⠣⠑⠱⠒⠐⠂⠛⠺⠐⠬⠈⠕⠈⠧⠒/⠛⠺⠠⠣/…⠛⠺⠀⠨⠕⠒⠰⠣⠂⠛⠪⠂⠀⠘⠣⠔⠛⠪⠠⠕⠛⠥⠲,86,233
P361+P364,오염된 모든 의류를 즉시 벗고 다시 사용 전 세척하시오.,⠴⠠⠏⠼⠉⠋⠁+⠴⠠⠏⠼⠉⠋⠙⠀⠐⠂⠀⠛⠥⠛⠱⠢⠊⠽⠒⠀⠑⠥⠊⠪⠒⠀⠛⠺⠐⠩⠐⠪⠂⠀⠨⠪⠁⠠⠕⠀⠘⠎⠄⠈⠥⠀⠊⠣⠠⠕⠀⠠⠣⠛⠬⠶⠀⠨⠎⠒⠀⠠⠝⠰⠎⠁⠚⠣⠠⠕⠛⠥⠲,81,824
P362+P364,오염된 의류를 벗고 다시 사용 전 세척하시오.,⠴⠠⠏⠼⠉⠋⠃+⠴⠠⠏⠼⠉⠋⠙⠀⠐⠂⠀⠛⠥⠛⠱⠢⠊⠽⠒⠀⠛⠺⠐⠩⠐⠪⠂⠀⠘⠎⠄⠈⠥⠀⠊⠣⠠⠕⠀⠠⠣⠛⠬⠶⠀⠨⠎⠒⠀⠠⠝⠰⠎⠁⠚⠣⠠⠕⠛⠥⠲,69,4535
