id,category,source_text,roundtrip_text,sim_edit,sim_chrf
ko_030,domain,반응기 온도는 섭씨 20도에서 25도 사이를 유지해야 합니다.,반응기 온도는 섭씨 20도에서 25도 사이를 유지해야 합니다.,1.0,1.0
ko_031,domain,염화나트륨(NaCl)은 물에 잘 녹는다.,염화나트륨(NaCl)은 물에 잘 녹는다.,1.0,1.0
ko_032,domain,이 CPU는 64비트 명령어 집합 아키텍처를 사용합니다.,이 CPU는 64비트 명령어 집합 아키텍처를 사용합니다.,1.0,1.0
ko_033,domain,환자에게 아목시실린 500밀리그램을 하루 두 번 투여하였다.,환자에게 아목시실린 500밀리그램을 하루 두 번 투여하였다.,1.0,1.0
ko_034,domain,A36 강재의 항복 강도는 약 250메가파스칼입니다.,A36 강재의 항복 강도는 약 250메가파스칼입니다.,1.0,1.0
ko_035,domain,중합효소 연쇄 반응(PCR)은 DNA 조각을 증폭합니다.,중합효소 연쇄 반응(PCR)은 DNA 조각을 증폭합니다.,1.0,1.0
ko_036,domain,레이놀즈 수는 흐름이 층류인지 난류인지를 결정합니다.,레이놀즈 수는 흐름이 층류인지 난류인지를 결정합니다.,1.0,1.0
ko_037,domain,HTTP 상태 코드 404는 리소스를 찾을 수 없음을 의미합니다.,HTTP 상태 코드 404는 리소스를 찾을 수 없음을 의미합니다.,1.0,1.0
ko_038,domain,벤젠(C6H6)은 방향족 탄화수소입니다.,벤젠(C6H6)은 방향족 탄화수소입니다.,1.0,1.0
ko_039,domain,컴파일러는 구문 분석 과정에서 추상 구문 트리(AST)를 생성합니다.,컴파일러는 구문 분석 과정에서 추상 구문 트리(AST)를 생성합니다.,1.0,1.0
ko_040,basic,다음 기차는 몇 시에 출발합니까?,다음 기차는 몇 시에 출발합니까?,1.0,1.0
ko_041,basic,나는 그런 것을 전에 한 번도 본 적이 없다.,나는 그런 것을 전에 한 번도 본 적이 없다.,1.0,1.0
ko_042,basic,그들은 추후 공지가 있을 때까지 행사를 연기하기로 했다.,그들은 추후 공지가 있을 때까지 행사를 연기하기로 했다.,1.0,1.0
ko_043,number,2019년부터 2023년까지 매출은 47.3퍼센트 증가했다.,2019년부터 2023년까지 매출은 47.3퍼센트 증가했다.,1.0,1.0
ko_044,number,서버 응답 시간은 평균 12.8밀리초였습니다.,서버 응답 시간은 평균 12.8밀리초였습니다.,1.0,1.0
ko_045,list,다음 예외 사항에 유의하시오: 별표(*)가 표시된 항목은 선택 사항입니다.,다음 예외 사항에 유의하시오: 별표(*)가 표시된 항목은 선택 사항입니다.,1.0,1.0
